year,round,#,from,description,team
2028,1,-,Own,"if (1) PHI's 2028 1st round pick, which would be protected for selections 1-8 and otherwise conveyable to BKN if PHI does not convey a 1st round pick to BKN in 2027 and if PHI has conveyed a 1st round pick to OKC by 2026, is conveyed to BKN and is the third most favorable of PHI, BKN's 2028 1st round pick, PHX's 2028 1st round pick and NYK's 2028 1st round pick and (2) NYK is the most or second most favorable of the four, then BKN will receive the most and third most favorable of the four; in all other scenarios, BKN will receive the most / two most favorable of these; if PHI if conveyed and / or NYK is less favorable than BKN and PHX, then NYK will receive the least favorable of NYK, BKN and PHX; in all other scenarios, NYK will receive the second most favorable of the three; WAS will receive the more favorable of (1) its 2028 1st round pick and (2) the least / less favorable of PHX, BKN and PHI if conveyed and PHX will receive the less favorable of (1) and (2) (via BKN's right to swap BKN or PHI for PHX; via BKN's right to swap BKN or PHX for NYK; via WAS's right to swap for PHX, BKN or PHI)",PHX
2029,1,-,"via UTA, CLE or MIN","UTA will receive the most / two most favorable of its 2029 1st round pick, CLE's 2029 1st round pick and MIN's 2029 1st round pick protected for selections 1-5 and PHX will receive the least / less favorable of these; if the MIN picks falls within its protected range and is therefore not conveyed, then MIN will instead convey its 2029 2nd round pick to UTA (via CLE and MIN to UTA)",PHX
2029,1,-,Own,"HOU will receive the two most favorable of its 2029 1st round pick, DAL' 2029 1st round pick and PHX's 2029 1st round pick and BKN will receive the least favorable of the three (via DAL and PHX to BKN; via DAL or PHX to HOU; via HOU's right to swap for DAL or PHX)",PHX
2030,1,-,Own,WAS has the right to swap its 2030 1st round pick for PHX's 2030 1st round pick; MEM then has the right to swap its 2030 1st round pick for the less favorable of the PHX pick and the WAS pick,PHX
2025,2,-,via ATL,Protected 41-59,POR
2026,1,-,Own,,POR
2026,2,-,via MEM,Protected 31-42,POR
2027,1,-,Own,,POR
2027,2,-,Own,No protections,POR
2027,2,-,Own,"BOS will receive the less favorable of POR's 2027 2nd round pick and NOP' 2027 2nd round pick if this pick falls outside its protected range of 31-55 (if this pick falls within its protected range and is therefore not conveyed, then POR's commitment to BOS will be lifted) (via POR)",POR
2027,2,-,via MIN,No protections,POR
2028,1,-,MIL swap rights,"POR has the right to swap its 2028 1st round pick, protected for selections 15-30 if POR has not conveyed a 1st round pick to CHI by 2027, for MIL's 2028 1st round pick",POR
2028,2,-,Own,,POR
2029,1,-,Own,,POR
2029,2,-,via IND or WAS,No protections,POR
2030,1,-,MIL swap rights,POR has the right to swap its 2030 1st round pick for MIL's 2030 1st round pick,POR
2030,2,-,via NYK,No protections,POR
2031,1,-,Own,,POR
2031,2,-,Own,,POR
2025,1,-,via CHA,Protected 1-14,SAC
2025,2,-,via CHI,No protections,SAC
2026,1,-,Own,,SAC
2026,2,-,Own,,SAC
2027,1,-,Own,,SAC
2027,1,-,via SAS,No protections,SAC
2027,2,-,Own,,SAC
2028,1,-,Own,,SAC
2028,2,-,Own,,SAC
2029,1,-,Own,,SAC
2030,1,-,Own,,SAC
2031,1,-,via MIN,No protections,SAC
2031,1,-,Own,SAS has the right to swap its 2031 1st round pick for SAC's 2031 1st round pick,SAC
2025,1,-,Own,,SAS
2025,1,-,via ATL,No protections,SAS
2025,2,-,Own,,SAS
2026,1,-,ATL swap rights,SAS has the right to swap its 2026 1st round pick for ATL's 2026 1st round pick,SAS
2026,2,-,"via OKC, DAL or PHI",No protections,SAS
2026,2,-,IND or MIA swap rights,MEM will receive the more favorable of (1) BOS's 2026 2nd round pick and (2) the more favorable of IND's 2026 2nd round pick and MIA's 2026 2nd round pick and BOS will receive the less favorable of (1) and (2); SAS will receive the more favorable of (1) its 2026 2nd round pick and (2) the less favorable of the IND pick and the MIA pick and MIN will receive the less favorable of (1) and (2); MEM may convey the pick it receives to HOU and instead receive LAC if more favorable (see MEM incoming) (via MIA to IND; via MIL to MEM; via MEM' right to swap IND or MIA for BOS; via SAS's right to swap for IND or MIA; via IND to MIN),SAS
2026,2,-,via NOP or POR,No protections,SAS
2026,2,-,via UTA,No protections,SAS
2027,1,-,via ATL,No protections,SAS
2027,2,-,"OKC, HOU, IND or MIA swap rights",No protections,SAS
2028,1,-,BOS swap rights,"SAS has the right to swap its 2028 1st round pick for BOS's 2028 1st round pick protected for selection 1; if this pick falls on its protected selection and is therefore not conveyable, then BOS will instead convey its 2028 2nd round pick to SAS protected for selections 46-60 (if this pick falls within its protected range and is therefore not conveyed, then BOS's commitment to SAS will be lifted)",SAS
2028,2,-,via MIN,No protections,SAS
2028,2,-,Own,,SAS
2028,2,-,via NOP,No protections,SAS
2029,1,-,Own,,SAS
2029,2,-,via LAC,No protections,SAS
2029,2,-,via NOP,No protections,SAS
2029,2,-,Own,,SAS
2030,1,-,DAL or MIN swap rights,"SAS will receive the most favorable of its 2030 1st round pick, DAL' 2030 1st round pick and MIN's 2030 1st round pick protected for selection 1; DAL will receive the less favorable of its pick and the SAS pick; MIN will receive the less favorable of (1) its pick and (2) the more favorable of the SAS pick and the DAL pick; if the MIN pick falls on its protected selection, then MIN's commitment to SAS will be lifted and SAS will instead have the right to swap its pick for the DAL pick (via SAS's right to swap for DAL; via SAS's right to swap SAS or DAL for MIN)",SAS
2030,2,-,via CLE,No protections,SAS
2030,2,-,Own,,SAS
2031,1,-,SAC swap rights,SAS has the right to swap its 2031 1st round pick for SAC's 2031 1st round pick,SAS
2031,2,-,Own,,SAS
2031,2,-,via SAC,No protections,SAS
2025,1,-,Own,,TOR
2025,2,-,via POR,No protections,TOR
2026,1,-,Own,,TOR
2026,2,-,Own,,TOR
2027,1,-,Own,,TOR
2027,2,-,Own,,TOR
2028,1,-,Own,,TOR
2028,2,-,Own,,TOR
2029,1,-,Own,,TOR
2029,2,-,Own,,TOR
2030,1,-,Own,,TOR
2030,2,-,Own,,TOR
2031,1,-,Own,,TOR
2031,2,-,Own,,TOR
2025,2,-,"DAL, DET, GSW or WAS swap rights","BOS will receive the most / more favorable of GSW's 2025 2nd round pick, WAS's 2025 2nd round pick, DET's 2025 2nd round pick protected for selections 56-59, and DAL' 2025 2nd round pick; UTA will receive the less favorable of (1) the DAL pick and (2) the most / more favorable of the DET pick if conveyable, the GSW pick or the WAS pick; WAS will receive the less favorable of its pick and the GSW pick, and the less favorable of (1) the more favorable of the two and (2) the DET pick if conveyable or WAS will receive neither (1) nor (2) if the DET pick is not conveyable (via DET to LAC to POR to DET; via DET's right to swap GSW for WAS (via BKN); via BOS's right to swap DET, GSW or WAS for DAL; via DAL to UTA; via DET to WAS)",UTA
2025,2,-,via LAC,No protections,UTA
2026,1,-,MIN or CLE swap rights,"UTA will receive the most favorable of its 2026 1st round pick, protected for selections 9-30 if UTA does not convey a 1st round pick to OKC in 2025, MIN's 2026 1st round pick and CLE's 2026 1st round pick; MIN will receive the less favorable of its pick and the UTA pick if conveyable; CLE will receive the less favorable of (1) its pick and (2) the more favorable of the MIN pick and the UTA pick if conveyable (if the UTA pick falls within its protected range and is therefore not conveyable, then MIN's and CLE's commitments to UTA will be lifted) (via UTA's right to swap for MIN; via UTA's right to swap UTA or MIN for CLE)",UTA
2027,1,-,Own,,UTA
2027,1,-,via LAL,Protected 1-4,UTA
2028,1,-,CLE swap rights,UTA has the right to swap its 2028 1st round pick for CLE's 2028 1st round pick,UTA
2029,1,-,Own,,UTA
2029,2,-,Own,,UTA
2030,1,-,Own,,UTA
2030,2,-,Own,,UTA
2030,2,-,via LAC,No protections,UTA
2031,1,-,Own,,UTA
2031,1,-,via PHX,No protections,UTA
2031,2,-,Own,,UTA
2025,2,-,Own,,WAS
2025,2,-,via PHX,No protections,WAS
2026,1,-,PHX swap rights,"WAS has the right to swap its 2026 1st round pick, protected for selections 9-30 if WAS does not convey a 1st round pick to NYK in 2025, for PHX's 2026 1st round pick; ORL then has the right to swap its 2026 1st round pick for the less favorable of the PHX pick and the WAS pick if conveyable; MEM then has the right to swap its 2026 1st round pick for the least / less favorable of the PHX pick, the WAS pick if conveyable and the ORL pick; if the WAS pick is not conveyable, then the commitment to WAS will be lifted and ORL will instead have the right to swap its pick for the PHX pick",WAS
2026,2,-,via CHI,No protections,WAS
2026,2,-,Own,,WAS
2026,2,-,via PHX,No protections,WAS
2026,2,-,"via MIN, NYK, NOP or POR",No protections,WAS
2027,1,-,Own,,WAS
2027,2,-,via GSW,No protections,WAS
2027,2,-,Own,,WAS
2027,2,-,via BKN or DAL,No protections,WAS
2027,2,-,via CHI,Protected 51-60,WAS
2027,2,-,via PHX,No protections,WAS
2028,1,-,"PHX, BKN or PHI swap rights","if (1) PHI's 2028 1st round pick, which would be protected for selections 1-8 and otherwise conveyable to BKN if PHI does not convey a 1st round pick to BKN in 2027 and if PHI has conveyed a 1st round pick to OKC by 2026, is conveyed to BKN and is the third most favorable of PHI, BKN's 2028 1st round pick, PHX's 2028 1st round pick and NYK's 2028 1st round pick and (2) NYK is the most or second most favorable of the four, then BKN will receive the most and third most favorable of the four; in all other scenarios, BKN will receive the most / two most favorable of these; if PHI if conveyed and / or NYK is less favorable than BKN and PHX, then NYK will receive the least favorable of NYK, BKN and PHX; in all other scenarios, NYK will receive the second most favorable of the three; WAS will receive the more favorable of (1) its 2028 1st round pick and (2) the least / less favorable of PHX, BKN and PHI if conveyed and PHX will receive the less favorable of (1) and (2) (via BKN's right to swap BKN or PHI for PHX; via BKN's right to swap BKN or PHX for NYK; via WAS's right to swap for PHX, BKN or PHI)",WAS
2028,2,-,via DEN,Protected 31-33,WAS
2028,2,-,via GSW,No protections,WAS
2028,2,-,Own,No protections,WAS
2029,1,-,Own,,WAS
2029,1,-,"via BOS, MIL or POR",No protections,WAS
2029,2,-,via LAL,No protections,WAS
2029,2,-,via SAC,No protections,WAS
2030,1,-,via GSW,Protected 1-20,WAS
2030,1,-,PHX swap rights,WAS has the right to swap its 2030 1st round pick for PHX's 2030 1st round pick; MEM then has the right to swap its 2030 1st round pick for the less favorable of the PHX pick and the WAS pick,WAS
2030,2,-,Own,,WAS
2030,2,-,via POR,No protections,WAS
2030,2,-,via PHX,No protections,WAS
2031,1,-,Own,,WAS
2031,2,-,Own,,WAS
